scale,theme,layer,default
10,cultural,admin_0_antarctic_claim_limit_lines,FALSE
10,cultural,admin_0_antarctic_claims,FALSE
10,cultural,admin_0_boundary_lines_disputed_areas,TRUE
10,cultural,admin_0_boundary_lines_land,TRUE
10,cultural,admin_0_boundary_lines_map_units,FALSE
10,cultural,admin_0_boundary_lines_maritime_indicator,FALSE
10,cultural,admin_0_boundary_lines_maritime_indicator_chn,FALSE
10,cultural,admin_0_countries,TRUE
10,cultural,admin_0_countries_arg,FALSE
10,cultural,admin_0_countries_bdg,FALSE
10,cultural,admin_0_countries_bra,FALSE
10,cultural,admin_0_countries_chn,FALSE
10,cultural,admin_0_countries_deu,FALSE
10,cultural,admin_0_countries_egy,FALSE
10,cultural,admin_0_countries_esp,FALSE
10,cultural,admin_0_countries_fra,FALSE
10,cultural,admin_0_countries_gbr,FALSE
10,cultural,admin_0_countries_grc,FALSE
10,cultural,admin_0_countries_idn,FALSE
10,cultural,admin_0_countries_ind,FALSE
10,cultural,admin_0_countries_iso,FALSE
10,cultural,admin_0_countries_isr,FALSE
10,cultural,admin_0_countries_ita,FALSE
10,cultural,admin_0_countries_jpn,FALSE
10,cultural,admin_0_countries_kor,FALSE
10,cultural,admin_0_countries_lakes,FALSE
10,cultural,admin_0_countries_mar,FALSE
10,cultural,admin_0_countries_nep,FALSE
10,cultural,admin_0_countries_nld,FALSE
10,cultural,admin_0_countries_pak,FALSE
10,cultural,admin_0_countries_pol,FALSE
10,cultural,admin_0_countries_prt,FALSE
10,cultural,admin_0_countries_pse,FALSE
10,cultural,admin_0_countries_rus,FALSE
10,cultural,admin_0_countries_sau,FALSE
10,cultural,admin_0_countries_swe,FALSE
10,cultural,admin_0_countries_tlc,FALSE
10,cultural,admin_0_countries_tur,FALSE
10,cultural,admin_0_countries_twn,FALSE
10,cultural,admin_0_countries_ukr,FALSE
10,cultural,admin_0_countries_usa,FALSE
10,cultural,admin_0_countries_vnm,FALSE
10,cultural,admin_0_disputed_areas,FALSE
10,cultural,admin_0_disputed_areas_scale_rank_minor_islands,FALSE
10,cultural,admin_0_label_points,FALSE
10,cultural,admin_0_map_subunits,FALSE
10,cultural,admin_0_map_units,FALSE
10,cultural,admin_0_names,FALSE
10,cultural,admin_0_pacific_groupings,FALSE
10,cultural,admin_0_scale_rank,FALSE
10,cultural,admin_0_scale_rank_minor_islands,FALSE
10,cultural,admin_0_seams,FALSE
10,cultural,admin_0_sovereignty,FALSE
10,cultural,admin_1_label_points,FALSE
10,cultural,admin_1_label_points_details,FALSE
10,cultural,admin_1_seams,FALSE
10,cultural,admin_1_states_provinces,FALSE
10,cultural,admin_1_states_provinces_lakes,FALSE
10,cultural,admin_1_states_provinces_lines,TRUE
10,cultural,admin_1_states_provinces_scale_rank,TRUE
10,cultural,admin_1_states_provinces_scale_rank_minor_islands,FALSE
10,cultural,admin_2_counties,FALSE
10,cultural,admin_2_counties_lakes,FALSE
10,cultural,admin_2_counties_lines,FALSE
10,cultural,admin_2_counties_scale_rank,FALSE
10,cultural,admin_2_counties_scale_rank_minor_islands,FALSE
10,cultural,admin_2_counties_to_match,FALSE
10,cultural,admin_2_label_points,FALSE
10,cultural,admin_2_label_points_details,FALSE
10,cultural,airports,FALSE
10,cultural,parks_and_protected_lands_area,FALSE
10,cultural,parks_and_protected_lands_line,FALSE
10,cultural,parks_and_protected_lands_point,FALSE
10,cultural,parks_and_protected_lands_scale_rank,FALSE
10,cultural,populated_places,FALSE
10,cultural,populated_places_simple,FALSE
10,cultural,ports,FALSE
10,cultural,railroads,FALSE
10,cultural,railroads_north_america,FALSE
10,cultural,roads,FALSE
10,cultural,roads_north_america,FALSE
10,cultural,time_zones,FALSE
10,cultural,urban_areas,FALSE
10,cultural,urban_areas_landscan,FALSE
10,physical,antarctic_ice_shelves_lines,FALSE
10,physical,antarctic_ice_shelves_polys,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_A_10000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_B_9000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_C_8000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_D_7000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_E_6000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_F_5000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_G_4000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_H_3000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_I_2000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_J_1000,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_K_200,FALSE
10,physical,bathymetry_all/ne_10m_bathymetry_L_0,FALSE
10,physical,coastline,FALSE
10,physical,geographic_lines,FALSE
10,physical,geography_marine_polys,FALSE
10,physical,geography_regions_elevation_points,FALSE
10,physical,geography_regions_points,FALSE
10,physical,geography_regions_polys,FALSE
10,physical,glaciated_areas,FALSE
10,physical,graticules_all/ne_10m_graticules_1,FALSE
10,physical,graticules_all/ne_10m_graticules_10,FALSE
10,physical,graticules_all/ne_10m_graticules_15,FALSE
10,physical,graticules_all/ne_10m_graticules_20,FALSE
10,physical,graticules_all/ne_10m_graticules_30,FALSE
10,physical,graticules_all/ne_10m_graticules_5,FALSE
10,physical,graticules_all/ne_10m_wgs84_bounding_box,FALSE
10,physical,lakes,TRUE
10,physical,lakes_australia,FALSE
10,physical,lakes_europe,FALSE
10,physical,lakes_historic,FALSE
10,physical,lakes_north_america,FALSE
10,physical,lakes_pluvial,FALSE
10,physical,land,TRUE
10,physical,land_ocean_label_points,FALSE
10,physical,land_ocean_seams,FALSE
10,physical,land_scale_rank,FALSE
10,physical,land_scale_rank2,FALSE
10,physical,minor_islands,FALSE
10,physical,minor_islands_coastline,FALSE
10,physical,minor_islands_label_points,FALSE
10,physical,minor_islands2,FALSE
10,physical,ocean,FALSE
10,physical,ocean_scale_rank,FALSE
10,physical,playas,FALSE
10,physical,reefs,FALSE
10,physical,rivers_australia,FALSE
10,physical,rivers_europe,FALSE
10,physical,rivers_lake_centerlines,FALSE
10,physical,rivers_lake_centerlines_scale_rank,TRUE
10,physical,rivers_north_america,FALSE
50,cultural,admin_0_boundary_lines_disputed_areas,TRUE
50,cultural,admin_0_boundary_lines_land,TRUE
50,cultural,admin_0_boundary_lines_maritime_indicator,FALSE
50,cultural,admin_0_boundary_lines_maritime_indicator_chn,FALSE
50,cultural,admin_0_boundary_map_units,FALSE
50,cultural,admin_0_breakaway_disputed_areas,FALSE
50,cultural,admin_0_breakaway_disputed_areas_scale_rank,FALSE
50,cultural,admin_0_countries,TRUE
50,cultural,admin_0_countries_lakes,FALSE
50,cultural,admin_0_disputed_areas,FALSE
50,cultural,admin_0_map_subunits,FALSE
50,cultural,admin_0_map_units,FALSE
50,cultural,admin_0_pacific_groupings,FALSE
50,cultural,admin_0_scale_rank,FALSE
50,cultural,admin_0_sovereignty,FALSE
50,cultural,admin_0_tiny_countries,FALSE
50,cultural,admin_0_tiny_countries_scale_rank,FALSE
50,cultural,admin_1_seams,FALSE
50,cultural,admin_1_sel,FALSE
50,cultural,admin_1_states_provinces,FALSE
50,cultural,admin_1_states_provinces_lakes,FALSE
50,cultural,admin_1_states_provinces_lines,TRUE
50,cultural,admin_1_states_provinces_scale_rank,TRUE
50,cultural,airports,FALSE
50,cultural,populated_places,FALSE
50,cultural,populated_places_simple,FALSE
50,cultural,ports,FALSE
50,cultural,urban_areas,FALSE
